cluster,size
0,18526
1,13130
2,14314
3,19405
4,17393
5,19278
6,16920
7,20038
8,20139
9,14333
10,19053
11,18812
12,14929
13,22699
14,13817
15,16404
16,15280
17,15781
18,17945
19,14360
20,21048
21,11592
22,15969
23,13522
24,15222
25,21884
26,15663
27,22153
28,12832
29,17361
30,14792
31,19386
32,14349
33,21869
34,16616
35,17874
36,14572
37,9839
38,16788
39,17902
40,19639
41,18523
42,13936
43,17370
44,23042
45,20174
46,16025
47,18594
48,19921
49,18114
50,18227
51,14801
52,17802
53,15972
54,16551
55,15731
56,15088
57,20189
58,15402
59,16681
60,17474
61,12740
62,19416
63,16595
64,15823
65,17268
66,16588
67,15481
68,16942
69,14935
70,13465
71,16848
72,17244
73,15522
74,11565
75,15674
76,16947
77,24182
78,14344
79,16228
80,22707
81,18169
82,16954
83,17637
84,16288
85,13814
86,15321
87,20318
88,22453
89,18977
90,18452
91,12873
92,19539
93,12196
94,17410
95,16622
96,15616
97,17732
98,15882
99,22460
